iter	Logloss
0	0.5820977604
1	0.5142016368
2	0.4725803305
3	0.4438992728
4	0.4232385556
5	0.409205787
6	0.3980917439
7	0.3894559401
8	0.3820983824
9	0.3800389754
10	0.3751702156
11	0.3708899861
12	0.3669403182
13	0.3642583302
14	0.3593093536
15	0.3565256396
16	0.3536094529
17	0.3513949754
18	0.3503421471
19	0.348827095
20	0.3443812783
21	0.3428253928
22	0.3410047216
23	0.3394302692
24	0.3363427136
25	0.3328967004
26	0.3310828956
27	0.3304192489
28	0.3291091484
29	0.3250383579
30	0.3224715509
31	0.3196304006
32	0.3169610607
33	0.3157440421
34	0.3130164818
35	0.3109785116
36	0.3077581635
37	0.3060305056
38	0.3045540147
39	0.3023206811
40	0.3002348206
41	0.2982947282
42	0.2960807608
43	0.2951634312
44	0.2945173275
45	0.2937767831
46	0.2925934878
47	0.2896543456
48	0.2875611276
49	0.2856018403
