iter	Passed	Remaining
0	4010	196508
1	7145	171481
2	10438	163543
3	13398	154079
4	16806	151259
5	20131	147632
6	22906	140708
7	25703	134944
8	28522	129937
9	28563	114252
10	31185	110567
11	33816	107086
12	36431	103689
13	39247	100922
14	41998	97997
15	44843	95291
16	48421	93995
17	51475	91511
18	51622	84226
19	54641	81962
20	57540	79460
21	60976	77606
22	63995	75125
23	67646	73283
24	71174	71174
25	74979	69211
26	78345	66738
27	81858	64317
28	85275	61751
29	88842	59228
30	92226	56526
31	95894	53940
32	99540	51278
33	102379	48178
34	105021	45009
35	107871	41950
36	110636	38872
37	113220	35753
38	115959	32706
39	118559	29639
40	121408	26650
41	123997	23618
42	126590	20607
43	129238	17623
44	132154	14683
45	134641	11707
46	137205	8757
47	139785	5824
48	142711	2912
49	145189	0
